ItemName,Price,OriginalPrice,DiscountPercent
SPOT LIGHT DEAL,"US $1,415.71",Cannot find Original Price,No Discounts
Lenovo Legion 5 Pro 16 165Hz QHD IPS G-Sync Ryzen 7 16GB RAM 1TB SSD RTX 3070,"US $1,389.00","US $1,709.99 ",19% off
NEW Apple iPad 10.2 9th Gen Retina Display 64GB WiFi Pick GRAY & SILVER + Stylus,US $369.99,Cannot find Original Price,No Discounts
Apple iPhone 7 32GB GSM Unlocked AT&T T-Mobile Very Good Condition,US $109.95,Cannot find Original Price,No Discounts
LG Velvet LMG900TM 128GB 4G & 5G Pink White T-Mobile + GSM Unlocked Brand New,US $259.99,Cannot find Original Price,No Discounts
Apple iPhone 8 Plus 64GB Unlocked AT&T T-Mobile Verizon Very Good Condition,US $219.95,Cannot find Original Price,No Discounts
Samsung Galaxy S10+ Plus G975U1 T-Mobile ATT Sprint Verizon Unlocked - A+ Stock,US $298.00,Cannot find Original Price,No Discounts
Samsung Galaxy S9 G960 Verizon TracFone Straight Talk Total  Unlocked Very Good,US $151.99,US $159.99 ,5% off
Xbox Series S Fortnite and Rocket League Bundle - Incl Xbox Wireless Controller,US $279.99,US $352.99 ,21% off
Sony Playstation 5 Disc Version PS5 Disc Video Game Console Japan Import,US $779.00,Cannot find Original Price,No Discounts
iRobot Roomba i7 Vacuum Cleaning Robot - Manufacturer Certified Refurbished!,US $299.99,US $649.99 ,54% off
iRobot Roomba E6 Vacuum Cleaning Robot  E6198 Manufacturer Certified Refurbished,US $149.99,US $379.99 ,61% off
iRobot Roomba i7+ Self-Emptying Vacuum Cleaning Robot - Certified Refurbished!,US $479.99,US $849.99 ,44% off
Milwaukee 2540-20 M12 12V 23 Gauge Compact Cordless Pin Nailer - Bare Tool,US $199.00,Cannot find Original Price,No Discounts
DeWALT DCK1020D2 20V 10 Tool 2 0Ah Lithium Ion Cordless Power Tool Combo Kit,US $759.00,Cannot find Original Price,No Discounts
Milwaukee 2732-20 M18 FUEL 18V 7-1/4-Inch Brushless Circular Saw - Bare Tool,US $249.00,Cannot find Original Price,No Discounts
Intel Core i5-10400 Desktop Processor - 6 cores And 12 threads - Up to 4.30 GHz,US $176.24,US $206.99 ,15% off
AMD Ryzen 5 5600G 6 core 12 thread Desktop Processor with Radeon Graphics,US $204.00,US $259.99 ,22% off
AMD Ryzen 7 5800X 8-core 16-thread Desktop Processor - 8 cores And 16 threads,US $329.00,US $449.99 ,27% off
Invicta Men's Watch Pro Diver Black and Green Bezel Yellow Gold Bracelet 30623,US $64.98,US $595.00 ,89% off
Wenger Women's 01.1121.105 Edge Index 34mm Quartz Watch,US $29.99,US $295.00 ,90% off
Tissot T-Race Motogp 2018 Chronograph Men's Watch T115.417.37.061.04,US $237.70,US $650.00 ,63% off
Invicta Men's Watch Pro Diver Automatic Two Tone Stainless Steel Bracelet 8928OB,US $85.65,US $595.00 ,86% off
Apple iPhone 12 mini 64GB Unlocked AT&T T-Mobile Verizon Very Good Condition,US $374.95,US $699.00 ,46% off
LG V60 ThinQ 5G LMV600TM 128GB Blue (T-Mobile Sprint) LG Dual Screen NEW Sealed,US $469.99,Cannot find Original Price,No Discounts
"TCL 10 Plus 6.47"" 64GB T782P Starlight Silver GSM Factory Unlocked Brand New",US $179.99,Cannot find Original Price,No Discounts
NEW Google Pixel 2 XL 64GB Factory Unlocked Android Smartphone White Black,US $159.00,Cannot find Original Price,No Discounts
Nintendo Switch OLED Model HEG-001 Handheld Console - 64GB - White,US $399.00,Cannot find Original Price,No Discounts
Sony Playstation 5 Disc Version (PS5 Disc) Video Game Console Ready to Ship!,US $919.94,Cannot find Original Price,No Discounts
"Sony Playstation 5 Disc Version with Extra Controller, Charging Station Bundle",US $859.00,Cannot find Original Price,No Discounts
Nintendo Switch OLED Model HEG-001 Handheld Console - 64GB - Black/Neon Red/Neon,US $409.00,Cannot find Original Price,No Discounts
Adidas Ultimate365 3-Stripes Tapered Golf Pants TM6292S9 Men's 2019 New,Cannot find Price,Cannot find Original Price,No Discounts
Tommy Hilfiger Mens Chino Pants Custom Fit Flat Front Trousers Casual Slacks New,US $46.99,US $98.00 ,52% off
Lee Mens Carpenter Jeans Loose Fit Straight Leg Denim Pants All Sizes New Nwt,US $37.99,US $48.00 ,21% off
Polo Ralph Lauren Mens Polo Shirt Classic Fit Interlock Knit New Xs S M L Xl Xxl,US $41.79,US $85.00 ,51% off
BCBG Women's Lounge Wear 2 Piece Embellished Jacket and Pants Jogger Set,US $34.88,US $160.00 ,78% off
Nike Women's Jogger Pants NSW Essential Fleece Active Drawstring Track Pants,US $43.88,US $90.00 ,51% off
Adidas Women's Sweatshirt Soft French Terry Ribbed Crewneck Active Sweater Top,US $44.88,US $90.00 ,50% off
Womens Fleece Joggers Set French Terry Stretch Hoodie and Pants Sweatsuit Set,US $30.88,US $60.00 ,49% off
MTG Commander Legend Battle for Baldur's Gate Sealed Draft Booster Box ship 6/10,US $98.44,US $144.95 ,32% off
Ultimate Squad Unison Warrior Series 8 Booster Box Dragon Ball Super TCG PS 6/3,US $67.94,US $99.95 ,32% off
Pokémon Sword & Shield Fusion Strike Build & Battle Box Display  ( Case of 10 ),US $129.99,US $249.99 ,48% off
Pokemon TCG Sword & Shield Brilliant Stars Booster Box Sealed 36 Packs,US $129.91,US $144.99 ,10% off
DeWALT DCK240C2 20V Compact Drill Driver/Impact Driver Combo Kit,US $219.00,Cannot find Original Price,No Discounts
Milwaukee 2598-22 M12 FUEL 2-Tool Hammer Drill & Hex Impact Driver Kit - NEW !!!,US $179.90,US $229.00 ,21% off
iRobot Roomba 960 Vacuum Cleaning Robot - Manufacturer Certified Refurbished!,US $249.99,US $499.99 ,50% off
iRobot Roomba i4 EVO (4150) Wi-Fi Connected Robot Vacuum - Certified Refurbished,US $199.99,US $449.99 ,56% off
Microsoft Surface Laptop Go 12.4in Touchscreen Intel i5 4GB RAM 64GB SSD Win 10,US $385.00,US $649.00 ,41% off
Microsoft Surface Laptop Go 12.4in Touchscreen Intel i5 8GB 128GB SSD Platinum,US $449.00,US $649.00 ,31% off
Microsoft Surface Laptop Go 12.4in Touchscreen Intel i5 8GB 128GB SSD Ice Blue,US $449.00,US $649.00 ,31% off
Microsoft Surface Laptop Go 12.4in Touchscreen Intel i5 8GB 128GB SSD Sandstone,US $449.00,US $649.00 ,31% off
"KT Tape Pro 10"" Precut Kinesiology Therapeutic Elastic Sports Roll - 20 Strips",US $15.99,US $19.99 ,20% off
Brownmed IMAK Arthritis Pain Relief Compression Half Finger Gloves,US $17.79,US $23.99 ,26% off
"KT Tape Pro Extreme 10"" Precut Kinesiology Therapeutic Sports Roll - 20 Strips",US $17.59,US $21.99 ,20% off
"KT Tape Pro Jumbo 10"" Precut Kinesiology Therapeutic Sports Roll - 150 Strips",US $79.39,US $89.99 ,12% off
Car Seat Covers for Auto SUV Van Truck 3 Row Beige - 14 Pieces,US $59.99,US $119.99 ,50% off
"Upper Control Arms For 2-4"" Lift Kit For 2001-2010 Chevy Silverado GMC Sierra HD",US $287.29,US $337.99 ,15% off
"Front Upper Control Arms for 2""-4"" Lift for 2006-2022 DODGE RAM 1500 4WD 4x4",US $243.79,US $264.99 ,8% off
Power Heated Tow Mirrors Flip-Up Pair For 2002-08 Dodge RAM 1500 03-09 2500 3500,US $117.99,US $260.99 ,55% off
"NEW HP 15.6"" FHD AMD Ryzen 5 5500U 8GB RAM 256GB NVMe SSD WIN11 BLUE + 16GB USB",US $469.99,US $599.99 ,22% off
